datetime,ENTX,ENTX_filtered,ENTY,ENTY_filtered,ENTZ,ENTZ_filtered,ENTF,ENTF_filtered
2026-04-25 00:00:00,35327.68,35324.298,1384.92,1384.742,2409.97,2409.438,35445.86,35442.445
2026-04-25 00:01:00,35327.23,35323.848,1385.08,1384.902,2409.87,2409.338,35445.42,35442.005
2026-04-25 00:02:00,35326.77,35323.388,1385.23,1385.052,2409.75,2409.218,35444.97,35441.555
2026-04-25 00:03:00,35326.37,35322.988,1385.29,1385.112,2409.66,2409.128,35444.56,35441.145
2026-04-25 00:04:00,35326.06,35322.678,1385.24,1385.062,2409.62,2409.088,35444.27,35440.855
2026-04-25 00:05:00,35325.76,35322.378,1385.1,1384.922,2409.55,2409.018,35443.96,35440.545
2026-04-25 00:06:00,35325.37,35321.988,1385.13,1384.952,2409.46,2408.928,35443.55,35440.135
2026-04-25 00:07:00,35324.93,35321.548,1385.27,1385.092,2409.38,2408.848,35443.12,35439.705
2026-04-25 00:08:00,35324.41,35324.688,1385.3,1384.841,2409.31,2409.37,35442.59,35442.844
2026-04-25 00:09:00,35323.84,35324.118,1385.25,1384.791,2409.2,2409.26,35442.03,35442.284
2026-04-25 00:10:00,35323.32,35323.598,1385.19,1384.731,2409.1,2409.16,35441.51,35441.764
2026-04-25 00:11:00,35322.79,35323.068,1385.2,1384.741,2409.06,2409.12,35440.98,35441.234
2026-04-25 00:12:00,35322.19,35322.468,1385.36,1384.901,2408.98,2409.04,35440.36,35440.614
2026-04-25 00:13:00,35321.74,35322.018,1385.54,1385.081,2408.93,2408.99,35439.91,35440.164
2026-04-25 00:14:00,35321.45,35321.728,1385.7,1385.241,2408.96,2409.02,35439.63,35439.884
2026-04-25 00:15:00,35321.15,35321.428,1385.97,1385.511,2408.98,2409.04,35439.35,35439.604
2026-04-25 00:16:00,35320.85,35323.963,1386.23,1384.803,2408.99,2409.122,35439.06,35442.114
2026-04-25 00:17:00,35320.5,35323.613,1386.39,1384.963,2408.99,2409.122,35438.71,35441.764
2026-04-25 00:18:00,35320.22,35323.333,1386.47,1385.043,2409.01,2409.142,35438.44,35441.494
2026-04-25 00:19:00,35319.86,35322.973,1386.49,1385.063,2409.01,2409.142,35438.09,35441.144
