datetime,ENTX,ENTX_filtered,ENTY,ENTY_filtered,ENTZ,ENTZ_filtered,ENTF,ENTF_filtered
2026-04-27 00:00:00,35358.08,35358.66,1370.37,1373.588,2408.75,2408.731,35475.9,35476.625
2026-04-27 00:01:00,35358.2,35358.78,1370.11,1373.328,2408.8,2408.781,35476.02,35476.745
2026-04-27 00:02:00,35358.38,35358.96,1369.93,1373.148,2408.83,2408.811,35476.19,35476.915
2026-04-27 00:03:00,35358.13,35358.71,1369.92,1373.138,2408.79,2408.771,35475.94,35476.665
2026-04-27 00:04:00,35358.45,35359.03,1370.06,1373.278,2408.85,2408.831,35476.29,35477.015
2026-04-27 00:05:00,35359.0,35359.58,1370.16,1373.378,2408.95,2408.931,35476.84,35477.565
2026-04-27 00:06:00,35358.71,35359.29,1370.2,1373.418,2408.89,2408.871,35476.55,35477.275
2026-04-27 00:07:00,35358.57,35359.15,1370.27,1373.488,2408.92,2408.901,35476.43,35477.155
2026-04-27 00:08:00,35358.73,35359.995,1370.42,1372.583,2408.93,2408.987,35476.6,35477.943
2026-04-27 00:09:00,35358.39,35359.655,1370.76,1372.923,2408.82,2408.877,35476.28,35477.623
2026-04-27 00:10:00,35357.97,35359.235,1370.97,1373.133,2408.79,2408.847,35475.86,35477.203
2026-04-27 00:11:00,35357.88,35359.145,1371.13,1373.293,2408.77,2408.827,35475.77,35477.113
2026-04-27 00:12:00,35357.55,35358.815,1371.23,1373.393,2408.74,2408.797,35475.45,35476.793
2026-04-27 00:13:00,35357.11,35358.375,1371.45,1373.613,2408.67,2408.727,35475.03,35476.373
2026-04-27 00:14:00,35357.0,35358.265,1371.62,1373.783,2408.68,2408.737,35474.89,35476.233
2026-04-27 00:15:00,35357.41,35358.675,1371.88,1374.043,2408.77,2408.827,35475.34,35476.683
2026-04-27 00:16:00,35357.29,35358.369,1372.17,1373.323,2408.77,2408.712,35475.22,35476.343
2026-04-27 00:17:00,35357.78,35358.859,1372.3,1373.453,2408.88,2408.822,35475.72,35476.843
2026-04-27 00:18:00,35357.48,35358.559,1372.33,1373.483,2408.88,2408.822,35475.43,35476.553
2026-04-27 00:19:00,35357.72,35358.799,1372.35,1373.503,2408.92,2408.862,35475.67,35476.793
