datetime,ENTX,ENTX_filtered,ENTY,ENTY_filtered,ENTZ,ENTZ_filtered,ENTF,ENTF_filtered
2026-04-26 00:00:00,35331.66,35333.996,1376.97,1376.352,2408.27,2408.088,35449.88,35452.192
2026-04-26 00:01:00,35331.83,35334.166,1376.85,1376.232,2408.27,2408.088,35450.05,35452.362
2026-04-26 00:02:00,35331.99,35334.326,1376.66,1376.042,2408.21,2408.028,35450.21,35452.522
2026-04-26 00:03:00,35332.1,35334.436,1376.53,1375.912,2408.15,2407.968,35450.3,35452.612
2026-04-26 00:04:00,35332.37,35334.706,1376.42,1375.802,2408.17,2407.988,35450.58,35452.892
2026-04-26 00:05:00,35332.55,35334.886,1376.32,1375.702,2408.14,2407.958,35450.75,35453.062
2026-04-26 00:06:00,35332.83,35335.166,1376.23,1375.612,2408.12,2407.938,35451.01,35453.322
2026-04-26 00:07:00,35333.07,35335.406,1376.08,1375.462,2408.1,2407.918,35451.26,35453.572
2026-04-26 00:08:00,35333.25,35334.019,1375.88,1376.222,2408.08,2408.107,35451.43,35452.211
2026-04-26 00:09:00,35333.61,35334.379,1375.7,1376.042,2408.06,2408.087,35451.8,35452.581
2026-04-26 00:10:00,35333.87,35334.639,1375.53,1375.872,2408.04,2408.067,35452.04,35452.821
2026-04-26 00:11:00,35334.06,35334.829,1375.42,1375.762,2408.02,2408.047,35452.23,35453.011
2026-04-26 00:12:00,35334.07,35334.839,1375.37,1375.712,2407.96,2407.987,35452.23,35453.011
2026-04-26 00:13:00,35333.91,35334.679,1375.43,1375.772,2407.88,2407.907,35452.07,35452.851
2026-04-26 00:14:00,35334.04,35334.809,1375.53,1375.872,2407.86,2407.887,35452.21,35452.991
2026-04-26 00:15:00,35334.12,35334.889,1375.52,1375.862,2407.86,2407.887,35452.28,35453.061
2026-04-26 00:16:00,35334.31,35334.587,1375.53,1375.61,2407.89,2408.013,35452.48,35452.754
2026-04-26 00:17:00,35334.41,35334.687,1375.63,1375.71,2407.88,2408.003,35452.58,35452.854
2026-04-26 00:18:00,35334.43,35334.707,1375.76,1375.84,2407.88,2408.003,35452.61,35452.884
2026-04-26 00:19:00,35334.45,35334.727,1375.82,1375.9,2407.89,2408.013,35452.64,35452.914
