datetime,ENTX,ENTX_filtered,ENTY,ENTY_filtered,ENTZ,ENTZ_filtered,ENTF,ENTF_filtered
2026-04-24 00:00:00,35345.41,35343.748,1372.52,1373.566,2406.14,2406.493,35463.17,35461.566
2026-04-24 00:01:00,35345.68,35344.018,1372.49,1373.536,2406.14,2406.493,35463.45,35461.846
2026-04-24 00:02:00,35345.64,35343.978,1372.44,1373.486,2406.07,2406.423,35463.4,35461.796
2026-04-24 00:03:00,35345.73,35344.068,1372.34,1373.386,2406.05,2406.403,35463.48,35461.876
2026-04-24 00:04:00,35345.86,35344.198,1372.31,1373.356,2406.03,2406.383,35463.62,35462.016
2026-04-24 00:05:00,35345.66,35343.998,1372.31,1373.356,2405.93,2406.283,35463.4,35461.796
2026-04-24 00:06:00,35345.84,35344.178,1372.35,1373.396,2405.93,2406.283,35463.58,35461.976
2026-04-24 00:07:00,35345.78,35344.118,1372.35,1373.396,2405.89,2406.243,35463.5,35461.896
2026-04-24 00:08:00,35345.67,35344.268,1372.38,1373.332,2405.89,2406.443,35463.42,35462.09
2026-04-24 00:09:00,35345.66,35344.258,1372.41,1373.362,2405.85,2406.403,35463.41,35462.08
2026-04-24 00:10:00,35345.65,35344.248,1372.5,1373.452,2405.84,2406.393,35463.4,35462.07
2026-04-24 00:11:00,35345.43,35344.028,1372.52,1373.472,2405.8,2406.353,35463.17,35461.84
2026-04-24 00:12:00,35345.41,35344.008,1372.51,1373.462,2405.78,2406.333,35463.14,35461.81
2026-04-24 00:13:00,35345.29,35343.888,1372.52,1373.472,2405.79,2406.343,35463.02,35461.69
2026-04-24 00:14:00,35345.3,35343.898,1372.51,1373.462,2405.8,2406.353,35463.03,35461.7
2026-04-24 00:15:00,35345.11,35343.708,1372.51,1373.462,2405.83,2406.383,35462.82,35461.49
2026-04-24 00:16:00,35344.91,35344.846,1372.49,1373.163,2405.8,2406.388,35462.62,35462.648
2026-04-24 00:17:00,35344.58,35344.516,1372.47,1373.143,2405.75,2406.338,35462.28,35462.308
2026-04-24 00:18:00,35344.24,35344.176,1372.55,1373.223,2405.73,2406.318,35461.94,35461.968
2026-04-24 00:19:00,35344.19,35344.126,1372.71,1373.383,2405.77,2406.358,35461.9,35461.928
